article_id,title,gold,pred,conf,ok,reason
14,"8 Chinese companies listed in ""Time"" magazine's top 100, the rise of i",4,4,0.9,True,"Alibaba is mentioned as an innovator on the TIME100 list, and its stock performance is highlighted positively. While the article focuses heavily on ot"
15,When the Hefei-Fuzhou high-speed rail meets Jiangxi,3,3,0.8,True,"The article focuses on the positive impact of high-speed rail infrastructure on regional development, including tourism and the digital economy. Aliba"
16,"Involved in 126 million yuan case, hundreds of people were deceived: V",3,3,0.9,True,"The article describes a significant fraud case that resulted in substantial financial losses for many victims. However, Alibaba is not directly named "
17,"The consumer appeal behind ""valley rice""",3,3,0.7,True,"The article discusses the 'Gu Zi' economy, which is a growing trend in China, and mentions Taobao platforms as a sales channel for related products. T"
18,"Alibaba Cloud globally deploys full-stack AI capabilities
Empowering C",5,4,0.9,True,"The article details Alibaba Cloud's global expansion of its AI capabilities, directly benefiting Chinese companies looking to go global. It provides s"
19,Deep enterprise enters the global unicorn list.,4,3,0.8,True,"The article mentions Ant Group, an affiliate of Alibaba, as a top unicorn company. However, the primary focus is on the broader global and Chinese uni"
20,"Foreigners in Weihai are enthusiastic about ""sweeping goods""",3,3,0.7,True,"The article discusses the increasing enthusiasm of foreign tourists for shopping and cultural experiences in Weihai, China. It highlights the convenie"
21,"Taobao sellers will ""move the universe""",2,2,0.9,True,"This article details a negative customer experience on Taobao involving a seller misrepresenting product origin, potentially selling counterfeit goods"
22,"AI Evolution Express | Xiaomi's first AI glasses released, supporting ",4,4,0.8,True,"While the article mentions Xiaomi's AI glasses and other international AI developments (Google, Anthropic, NVIDIA CEO), the inclusion of Alibaba's exp"
23,Carta de nuestro Presidente y nuestro CEO,5,4,0.9,True,"The article details Alibaba's strategic focus on AI and cloud computing, highlighting significant investments, strong growth in AI-related products, a"
24,"The US stock market fluctuated, with the Dow Jones falling more than 1",3,2,0.9,True,The article mentions that Alibaba fell by 2.1% and the Nasdaq Golden Dragon Index (which includes Alibaba) fell by 0.6%. This indicates a specific neg
25,Wu's credit card fraud case,3,3,0.9,True,The article details a criminal case involving credit card fraud that occurred on the Douyin platform (owned by ByteDance) and involved WeChat (owned b
26,"Sensitive skin care, anti-aging, men's skin care and other segmented t",3,3,0.8,True,"The article discusses trends in the Chinese skincare market, mentioning Taobao and Tmall as important platforms where sales occur. While it highlights"
27,Commercialization Process of Self-Driving Taxis Accelerates,3,3,0.8,True,"The article discusses the broader trend of autonomous driving and Robotaxi commercialization, with mentions of companies like Tesla and various Chines"
28,"From ""Traveling in China"" and ""Shopping in China"" to see the heat of t",3,3,0.8,True,"The article describes a positive trend for the Chinese economy, driven by increased tourism and consumption, which indirectly benefits e-commerce and "
29,【Red Chip State-owned Enterprise Warrants】Funds change horses to chase,4,3,0.8,True,"The article's primary focus is on the real estate sector and broader market movements, with Alibaba mentioned only peripherally in relation to a speci"
30,Harry Potter pop-up store appears at Chaoyangmen subway station.,3,3,0.8,True,"The article describes a pop-up store event and the sale of themed transportation cards, which are available on multiple e-commerce platforms including"
31,"The college entrance examination products are rich in meaning, don't l",3,3,0.8,True,"The article describes a seasonal consumption trend on e-commerce platforms, including Taobao, related to the college entrance examination. While this "
32,Beihang University: Building a distinctive college for national strate,3,3,0.7,True,"The article focuses on Beihang University's strategic initiatives in education, particularly in areas like quantum technology and aerospace, aligning "
33,200 hospitals will achieve mutual recognition of test results.,3,3,0.8,True,"The article focuses on advancements in Beijing's healthcare system, specifically the mutual recognition of medical test results and the optimization o"
34,"Why are internet giants all eyeing ""stablecoins""?",4,4,0.9,True,"Ant Group's pursuit of a stablecoin license in Hong Kong represents a strategic move to improve cross-border payments, which directly benefits Alibaba"
35,"Innovate and seek change, slim down and keep fit, reshape advantages -",3,3,0.8,True,The article discusses significant reforms and technological advancements within Guangdong's mainstream media sector. While Alibaba Cloud is mentioned 
36,Can Tencent's digital therapy break through the difficulties of commer,3,3,0.8,True,The article is primarily about Tencent's new digital therapy product and the broader challenges within the digital therapeutics market. While it menti
37,[Announcement],3,3,0.9,True,The article contains a collection of legal announcements and court judgments from various Chinese courts and arbitration commissions. None of these di
38,Shenzhen Huimin Bao will stop accepting insurance applications at the ,3,3,0.8,True,The article discusses the closure of insurance applications for 'Shenzhen Huimin Bao' and mentions Alipay as one of the payment channels. While Alipay
39,The duration of using AR glasses in the future may exceed that of mobi,3,3,0.8,True,"The article discusses a rapidly growing technology sector (AR glasses) that is heavily influenced by AI, which is a positive backdrop for companies li"
40,"""The Adventures of Qing Shan""",4,4,0.8,True,"The article details the successful transformation of Qingshan Village, emphasizing the positive impact of various initiatives including those supporte"
41,"The first ecological civilization practice station of ""West Lake Think",4,3,0.8,True,"The article mentions Alibaba Public Welfare Foundation as a past partner in an ecological initiative. However, the main focus is on the establishment "
42,"Youth AI partners debut, more than 8,000 internship positions gathered",3,3,0.8,True,"The article highlights a local government initiative focused on supporting university graduates, which includes the development and deployment of an A"
43,"Shenzhen ""Hui Min Bao"" life really needs",3,3,0.8,True,The article is primarily about a local government-supervised medical insurance program in Shenzhen. While Alibaba's Alipay is mentioned as one of the 
44,"Zhejiang holds the second ""live streaming sales of local specialties"" ",4,4,0.8,True,"The article describes a skills competition focused on live streaming sales of local specialties, hosted at Alibaba's Xixi Park. This event directly pr"
45,"Why are internet giants rushing into the ""stablecoin"" market?",4,4,0.9,True,"Ant Group's proactive move to apply for a stablecoin license in Hong Kong, coupled with the upcoming regulatory framework, represents a significant po"
46,"Dairy industry ""618"" differentiation: Yili leads, infant formula, fres",4,3,0.8,True,"The article discusses the '618' promotion, a significant e-commerce event, and mentions Alibaba's platforms (Tmall, JD.com, Douyin) as channels for sa"
47,Notice on holding the 2024 Academic Annual Conference of the Pharmaceu,3,3,0.9,True,The article is about an academic conference focused on pharmaceutical excipients and technological innovation within the pharmaceutical industry. Ther
48,"Cross-border e-commerce transactions are busy, live streaming sales ar",4,3,0.8,True,"The article discusses the general positive momentum in cross-border e-commerce and live streaming sales, with Alibaba International Station being ment"
49,58 entrepreneurs from Shenzhen made the list.,4,4,0.8,True,The article highlights that Alibaba founder Jack Ma's wealth significantly increased and he remains in the top ten of the wealth creation list. Furthe
50,UnionPay China collaborates with various industries to help revitalize,3,3,0.8,True,"The article discusses UnionPay's collaboration with various industries, including e-commerce platforms like Taobao and Tmall, to support national 'tra"
51,"The power bank safety storm continues, with companies such as Anker In",3,3,0.8,True,"The article details safety concerns and product recalls affecting several power bank brands, including Romoss and Anker Innovation. While Alibaba's pl"
52,"Under the influence of the epidemic, how can fruits and vegetables flo",4,4,0.9,True,"The article details how Alibaba's platforms (Taobao, Tmall) are being utilized by government officials and various regions to address agricultural pro"
53,"Stone Technology goes to Hong Kong for a second listing, aiming to inc",3,3,0.8,True,"The article discusses Stone Technology's secondary listing in Hong Kong, which is framed as a positive move for globalization and financing. It mentio"
54,Notice of Online Training on Quality Control for Procurement and Outso,3,3,0.9,True,The article describes a general industry training program focused on quality control for procurement and outsourcing. It is organized by an industry a
55,Chinese Translation Association 2022 Work Summary,3,3,0.8,True,"The article details the activities and achievements of the Translators Association of China (TAC), focusing on its role in promoting translation servi"
56,"Borrowing the ""expanding domestic demand"" momentum, food and beverage ",3,3,0.8,True,"The article discusses positive trends in the Shanghai food and beverage market, driven by domestic demand policies. It mentions that e-commerce platfo"
57,Neue Klasse aims to be game-changer for BMW,3,3,0.8,True,Alibaba is mentioned as a technology partner for BMW's new car models in China. While this indicates a collaboration and potential for future business
58,"The large-scale financial application has entered a new stage, and the",4,4,0.8,True,"The article discusses the application of large-scale models and AI in the financial industry, with a specific mention of Zheng Miao from Alibaba Cloud"
59,Chain Talk / Hong Kong digital asset market steadily advancing \ Fu Ra,4,3,0.8,True,"The article discusses the advancement of Hong Kong's digital asset market, including stablecoin regulations and RWA tokenization, with a mention of An"
60,Notice on holding the 2024 Academic Annual Conference of the Pharmaceu,3,3,0.9,True,The article is about a conference on pharmaceutical excipients and has no direct connection to Alibaba Group. While advancements in this sector could 
61,"Enter ""a door"", allowing ""little brother"" to have higher efficiency in",3,3,0.8,True,"The article discusses a new initiative in Shanghai to streamline labor dispute mediation for gig economy workers, and mentions Alibaba's Ele.me platfo"
62,Notice on holding the 2024 Academic Annual Conference of the Pharmaceu,3,3,0.9,True,The article is about a pharmaceutical industry conference and has no direct connection to Alibaba Group. While advancements in the pharmaceutical indu
63,"Discharged from the hospital and immediately receiving compensation, """,3,3,0.7,True,The article is primarily about a local government-backed medical insurance program ('Shenzhen Huimin Bao') and its positive impact on residents throug
64,Notice on holding the 2024 Academic Annual Conference of the Pharmaceu,3,3,0.9,True,The article is about an academic conference for the pharmaceutical excipients professional committee. It does not mention Alibaba Group or any of its 
65,"After Qianling Mountain Park waived the entrance fee, the number of vi",3,3,0.7,True,The article discusses a local park's successful strategy of waiving entrance fees and increasing revenue through concessions and commercial activities
66,"The ""Clear and Rectify the Abuse of AI Technology"" special action has ",3,3,0.8,True,"The article discusses a government-led special action to ""Clear and Rectify the Abuse of AI Technology,"" which has resulted in the disposal of over 3,"
67,"LABUBU's another explosive new product is officially on sale, TikTok S",3,3,0.8,True,"The article covers a variety of topics, including product launches from toy companies like LEGO and Hasbro, Pop Mart's international expansion and str"
68,Strong responsibility promotes compliance and stable development.,3,2,0.8,True,The article details new administrative guidance and requirements imposed on platform enterprises by the Guangxi Market Supervision Administration. Thi
69,[Financial News Broadcast] Ele.me's former CEO taken away by police! S,3,2,0.8,True,"The article reports that the former CEO of Ele.me, an Alibaba subsidiary, is under investigation for duty-related crimes. This is a specific negative "
70,"Resolutely crack down on counterfeiting and inferior products, safegua",4,3,0.8,True,"The article details Mousse Group's successful efforts in combating counterfeit products, including actions taken on online platforms. Alibaba's Taobao"
71,"Top 100 chain stores have a new layout: scale exceeds 2 trillion, spec",3,3,0.8,True,"The article provides a broad overview of the retail landscape in China, highlighting trends across various store formats. While it mentions that e-com"
72,Notice on holding the 2024 Academic Annual Conference of the Pharmaceu,3,3,0.9,True,The article is about an academic conference focused on pharmaceutical excipients and their role in the pharmaceutical industry. Alibaba Group is not m
73,"What kind of company? Can make ""stingy"" young people dig out a market ",3,3,0.7,True,"The article focuses on the business model and success of HotMaxx, a discount retailer. While it touches upon broader retail trends like 'new retail' a"
74,"Small factory, big order, AI has become the new ""matchmaker""",3,4,0.9,True,The article describes how AI-powered platforms like Haizhi Online are significantly benefiting small and medium-sized manufacturing enterprises in Chi
75,"Stock prices have surged by 200% in the past two months, while the mai",3,3,0.8,True,"The article is entirely focused on Yongan Pharmaceutical, detailing its stock price surges, operational issues, and management investigations. Alibaba"
76,"The ""triple gate"" of China's AI glasses super prosperity.",4,4,0.8,True,The article highlights the rapid growth of the smart glasses market and mentions Alibaba's Tongyi Qianwen as a key underlying model powering these dev
77,"Why is it difficult for express packaging to ""lose weight""?",3,3,0.8,True,"The article addresses a broad industry issue concerning excessive packaging in express delivery, which indirectly relates to e-commerce platforms like"
78,Postal Savings Bank of China Henan Branch: Financial vitality nourishe,3,3,0.9,True,The article focuses on the Postal Savings Bank of China's initiatives in rural revitalization and does not mention Alibaba Group or any of its subsidi
79,"International Business Daily: 618 battle report data released, is the ",4,3,0.8,True,"This article provides a comprehensive overview of the 618 shopping festival, detailing performance metrics for both JD.com and Tmall. While Tmall demo"
80,Huaian Bureau focuses on the rotation of samples for the investigation,3,3,0.8,True,"The article discusses statistical sampling and data auditing procedures for various business sectors, including retail. While it touches upon retail b"
81,"""Super long version of '618', reflecting which new consumer trends""",4,4,0.8,True,"The article discusses the '618' shopping festival, which directly involves Alibaba's platforms (Taobao, Tmall). While it touches on broader consumer t"
82,"Farewell to Zero-Sum ""War of Attrition,"" E-commerce Platforms Shake Ha",4,4,0.9,True,"The article describes a significant positive shift in the e-commerce landscape, moving away from intense competition towards cooperation and value cre"
83,"iQiyi takes the initiative to lay out, while Youku and Tencent are cau",3,3,0.8,True,"The article discusses the strategies of various video platforms, including iQiyi, Youku, and Tencent Video, in the context of VR and IP development. A"
84,Police issue urgent warning about summer flight ticket refund and chan,3,3,0.8,True,"The article describes a scam that incidentally uses Alipay as part of the fraudulent process. However, the scam is not directly targeting Alibaba or i"
85,Chinese brands are accelerating their rise by upgrading quality throug,4,4,0.9,True,"The article focuses on the '618' shopping festival, a significant event for Chinese e-commerce platforms. It details increased sales, consumer spendin"
86,"The highest three years of zero commission, JD enters the wine and tra",3,3,0.8,True,"The article announces JD.com's entry into the hotel and travel market, which is framed as intensifying competition. Alibaba, through its platform Flig"
87,"Some regions cancel ""national subsidy""? There is no hot spot for consu",3,3,0.8,True,"The article discusses a temporary disruption in the 'national subsidy' program for consumer goods trade-ins, which could be seen as a minor negative. "
88,Deeply develop the consumer scene ecosystem to create new support poin,3,3,0.8,True,The article discusses general consumption growth initiatives and mentions various online platforms including some that are competitors or partners to 
89,Talent development chain empowers e-commerce value chain.,4,3,0.8,True,The article discusses the RCEP agreement and its implications for cross-border e-commerce talent development. While Alibaba's mission statement is men
90,"60,000 taxis will increase ""online hailing"" prompts.",3,3,0.8,True,The article discusses a new initiative by the transportation department to add an 'online booking' indicator light to taxis. This aims to improve the 
91,"21st Dialogue | HKEX CEO Charles Li: ""Solving hand in hand"", Chinese c",4,4,0.9,True,"The article discusses the Hong Kong Stock Exchange's (HKEX) efforts to attract Chinese concept stocks, including potentially relaxing listing rules. I"
92,Bubble Mart AB side: Explosive sales and hidden capital flows.,4,3,0.8,True,"The article presents a mixed picture for Pop Mart. On one hand, there's strong evidence of IP popularity and sales growth, with new product launches a"
93,The province's campaign to protect minors has been launched.,4,3,0.8,True,"The article mentions the 'Alibaba Youth Cloud Assistance Program' as one of the top ten 'small and warm' public welfare projects. However, the primary"
94,"The situation in the Middle East is deteriorating, but the overall mar",4,4,0.9,True,"The article reports that Alibaba's stock rose by 1.68% and experienced a net inflow of funds, indicating positive investor sentiment and performance d"
95,Zhejiang Consumer Protection Commission interviewed multiple platforms,3,2,0.8,True,"The article discusses a consumer protection commission interviewing multiple e-commerce platforms, including Alibaba's Taobao and Tmall, regarding a h"
96,Zhejiang Yongkang helps foreign trade enterprises reduce costs and bur,4,3,0.8,True,The article discusses initiatives by the Yongkang City Market Supervision Bureau to support foreign trade enterprises by leveraging e-commerce platfor
97,Notice on holding the 2024 Academic Annual Conference of the Pharmaceu,3,3,0.9,True,The article is about an academic conference focused on pharmaceutical excipients and technological innovation within the pharmaceutical industry. Ther
98,LC: 800G optical module drives market recovery in Q2 2025.,3,3,0.8,True,"The article discusses a recovery in the optical module market, which is generally positive for companies involved in cloud infrastructure like Alibaba"
99,Guangzhou will strengthen policy guidance and capital support in key a,4,4,0.8,True,"The article details Guangzhou's significant policy and financial support for the AI industry, including specific measures like vouchers for computing "
100,"""Three fees in one"" are collected with water in Zunyi City to improve ",3,3,0.8,True,The article describes a local government initiative to streamline fee collection for public services. While it mentions online payment channels like W
101,"Build a ""bridge"" for African youth to start businesses in China.",4,3,0.8,True,The article highlights a China-Africa Youth Innovation and Entrepreneurship Base and its role in fostering business ties. Alibaba Group is mentioned a
102,"Farewell to low-price internal competition, 618 can go further · Chong",4,4,0.9,True,"The article discusses a significant shift in the e-commerce landscape, moving away from aggressive low-price competition towards a focus on value, ser"
103,"""Double engine"" drives this shopping festival (picture)",4,3,0.8,True,"The article discusses the '618' shopping festival and the broader economic trend of foreign trade enterprises shifting to domestic sales, with multipl"
104,Dairy and Baking Synergistically Drive Yiming Foods' Steady Performanc,4,3,0.8,True,"The article focuses on the performance and strategy of Yinming Food, a company that utilizes Alibaba's Tmall platform for sales. While Yinming Food's "
105,"""In the heart there is love, in the hands there is AI"" - they who have",4,3,0.8,True,"The article details a public welfare project involving Ant Group (an Alibaba affiliate) that uses digital technology, including AI, to empower women. "
106,The Chinese Culinary Association held a quarterly work meeting of the ,3,3,0.8,True,"The article discusses a meeting on food safety regulations for chain catering enterprises, with representatives from Meituan and Ele.me (Alibaba subsi"
107,"How did the small water town become the ""top stream"" in Shanghai?",3,3,0.8,True,"The article details the successful transformation of a rural village into a popular tourist spot, highlighting local economic development and communit"
108,Do you still need to learn programming to develop intelligent agents w,4,4,0.8,True,"The article discusses the rise of code-free intelligent agent development, directly mentioning Alibaba's Tongyi Xingchen platform as one of the key pl"
109,Government debt drives social financing.,3,3,0.8,True,"The article focuses on China's macroeconomic financial data, including social financing, government bond issuance, and corporate bond trends. While th"
110,Notice on holding the 2024 Academic Annual Conference of the Pharmaceu,3,3,0.9,True,The article is about an academic conference focused on pharmaceutical excipients and their technological innovation. There is no direct mention of Ali
111,Exploring the multidimensional examination and innovative development ,3,3,0.9,True,"The article discusses educational policy and the integration of technology, including a mention of Alibaba's cooperation with Zhejiang University on a"
112,Notice on holding the 2024 Academic Annual Conference of the Pharmaceu,3,3,0.9,True,The article is about an academic conference focused on pharmaceutical excipients and technological innovation within the pharmaceutical industry. Ther
113,Southbound funds hit a near nine-week high in trading volume this week,4,4,0.8,True,"The article reports a significant increase in Southbound fund activity and net purchases, with Alibaba-W being one of the actively traded stocks that "
114,Notice on holding the 2024 Academic Annual Conference of the Pharmaceu,3,3,0.95,True,The article is about an academic conference for the pharmaceutical excipients professional committee. It does not directly involve Alibaba Group or an
115,Notice on holding the 2024 Academic Annual Conference of the Pharmaceu,3,3,0.9,True,The article is about a pharmaceutical excipients conference and has no direct mention of Alibaba or its business operations. While Alibaba might have 
116,Notice on holding the 2024 Academic Annual Conference of the Pharmaceu,3,3,0.9,True,"The article is about a pharmaceutical industry conference and has no direct connection to Alibaba's business operations, products, or financial perfor"
117,Case link,3,3,0.8,True,"The article describes several criminal cases where Alipay was used as a payment method. While Alipay is an Alibaba affiliate, the article focuses on t"
118,Notice on adjusting the closure construction time of the main line fro,3,3,0.9,True,The article is about road construction and traffic adjustments due to weather conditions on the Beijing-Harbin Expressway. It does not mention Alibaba
119,"Kangshengyao Pharmaceutical Co., Ltd.
Announcement on the Progress of ",3,3,0.8,True,"The article discusses a legal and financial development concerning Kangmei Pharmaceutical and its subsidiaries, specifically a debt transfer and chang"
120,Build a new pattern of cooperation and create a golden signboard for e,4,3,0.8,True,The article focuses on the China-Africa Economic and Trade Expo and broader Sino-African economic cooperation. While Alibaba is mentioned in the conte
121,"The education hardware market is hot, and the stationery consumption t",3,3,0.8,True,"The article focuses on a growing market trend for AI-powered educational hardware and stationery, which indirectly benefits e-commerce platforms like "
122,"Just now! Central Bank, latest release!",3,3,0.8,True,The article provides a broad overview of China's macroeconomic financial data and recent policy measures. While these factors can indirectly influence
123,"Quanzhou Zhonglian | Helping ""Jinpin Going Global"" Weitou - Kinmen Mar",4,3,0.7,True,The article announces a new cross-border shipping route that benefits platforms like Alibaba by reducing logistics time and costs for goods entering T
124,High-frequency data in May reflects the economy improving towards the ,4,3,0.7,True,"The article reports on positive high-frequency economic data for China in May, indicating improvements in consumption, investment, and industrial prod"
125,Is there an abnormal sign for your express delivery?,3,3,0.8,True,The article discusses general e-commerce scams that occur during major shopping events like '618'. While e-commerce platforms are the backdrop for the
126,"""Fingertip gold mining"" achieves a hundred billion industry.",4,3,0.8,True,"The article focuses on the growth of the handcrafted nail art industry in Donghai County, China, and its success through cross-border e-commerce. Alib"
127,Seize the opportunity/Ant Group plans to apply for stablecoin concept ,5,4,0.9,True,"This news is positive for Ant Group (a subsidiary of Alibaba) as it signals a strategic move into the rapidly growing stablecoin market, leveraging ne"
128,Ant International plans to apply for a stablecoin license in Hong Kong,4,4,0.9,True,"The article details a specific, positive development for Ant International (a subsidiary of Alibaba Group) in pursuing a stablecoin license in Hong Ko"
129,Mutual benefit and win-win.,4,3,0.8,True,"The article discusses the growing economic and trade relationship between China and Africa, with a specific mention of Chinese e-commerce platforms, i"
130,"2025 China Internet Civilization Conference | In the digital age, how ",4,3,0.8,True,"This article discusses a forum on corporate social responsibility within the internet industry, with Alibaba being one of many companies mentioned. Wh"
131,"Pre-market must-read | US stocks three major indexes fell, crude oil s",3,2,0.8,True,The article mentions Alibaba's stock price declining by 1.2% within the context of a broader downturn in US tech stocks and a slight decrease in the N
132,"Annual sales exceeded 50 million yuan, driving thousands of farmers to",3,3,0.8,True,"The article highlights the economic development of a local food industry and its use of e-commerce platforms, including Tmall. While Tmall is an Aliba"
133,Create the Suzhou model of offline no-reason returns.,3,3,0.8,True,The article details a local government initiative in Suzhou to enhance the consumer environment through an 'offline no-reason return' policy. While th
134,"Notice on holding the ""2025 Boiler Inspector (GLY) Professional Traini",3,3,0.9,True,The article is about a professional training activity for boiler inspectors organized by industry associations. Alibaba Group is not mentioned in the 
135,"Liuzhou Two-Sided Needle Co., Ltd.
Reply Announcement Regarding the In",3,3,0.8,True,The article discusses a company's response to a stock exchange inquiry about its annual report. While it involves financial scrutiny and requires deta
136,Various well-known companies are actively recruiting talents in the fi,4,4,0.9,True,"The article highlights a broad trend of companies actively recruiting AI talent, with specific mention of Alibaba increasing its AI talent recruitment"
137,"""Practical work and achievements benefit the people and enterprises""",3,3,0.8,True,The article discusses local government initiatives in Tianjin to support businesses and employment. Alibaba International Station is mentioned as one 
138,Notice on holding the 2024 Academic Annual Conference of the Pharmaceu,3,3,0.95,True,"The article is about a conference focused on the pharmaceutical industry, specifically pharmaceutical excipients. While it touches on themes of techno"
139,"Maotai cultural tourism accelerates ""breaking the circle""",3,3,0.8,True,"The article details Maotai's expansion into cultural tourism and creative products, including their presence on e-commerce platforms like Taobao, JD.c"
140,These hospitals in Jilin Province use mobile payment to achieve mobile,4,3,0.8,True,"The article discusses the implementation of mobile payment for medical insurance in Jilin Province, mentioning Alipay and WeChat as platforms that fac"
141,"Using roads as a medium, integrating and empowering.",3,3,0.8,True,"The article focuses on infrastructure development and integrated services along highways in Yunnan province, with various 'Highway +' initiatives. Ali"
142,"Learn skills, digital assistants are here to help.",4,3,0.8,True,The article discusses the general trend of AI empowering skilled labor and vocational training across industries. While Alibaba is mentioned as one of
143,"Women's sports events are becoming increasingly popular, and this Chin",4,4,0.9,True,"The article details a significant financial success for Alibaba Group's chairman, Joe Tsai, and his wife, Clara Wu Tsai, through their investment in t"
144,"First year ""free""! Ma'anshan introduces new policy",4,3,0.8,True,The article describes a new government policy in Ma'anshan offering free medical insurance for newborns. While it mentions the use of platforms like A
145,New technology is right around us.,3,3,0.7,True,The article discusses new technologies like AIGC and VR within the context of the Shanghai International Film Festival. While Alipay's 'Explore' funct
146,"Notice on holding the ""2025 National Boiler Inspector (GLS) Profession",3,3,0.9,True,The article is about a professional training event for boiler inspectors organized by a specific industry association. Alibaba Group is not mentioned 
147,"The ""free"" moxibustion clinic is digging a hole again.",3,3,0.8,True,The article details a scam targeting the elderly through free moxibustion clinics that upsell health products. While it draws a parallel to previously
148,DeepSeek runs fast.,4,3,0.7,True,"The article discusses advancements in the AI space, specifically focusing on DeepSeek's model upgrades. While it mentions Alibaba Cloud's Tongyi Lingm"
149,"240-hour visa-free transit plus ""buy now, return now"" shopping in Chin",3,3,0.8,True,"The article discusses increased foreign tourist spending in Shenzhen, particularly on electronics in Huaqiangbei, driven by new visa-free and tax refu"
150,Fuan key industry chain project signed collectively,3,3,0.7,True,"The article discusses local industry development in Fuan City, focusing on the large health industry and its e-commerce presence. While it mentions Tm"
151,"How do Internet ""big companies"" build a good employment ""reservoir""?",4,3,0.8,True,"The article discusses the broader trend of large internet companies, including Alibaba, contributing to employment stabilization by offering internshi"
152,Spend 200 yuan and get a tax refund. Foreigners flock to Huaxiangbei t,3,3,0.7,True,"The article discusses the surge in foreign tourists shopping in Shenzhen's Huaqiangbei electronics market, driven by new visa-free policies and tax re"
153,Nanjing leaps from the pivot of world culture to super link.,4,3,0.8,True,"The article discusses the economic and infrastructural development of the Yangtze River Delta, highlighting Nanjing's growing importance. Alibaba is m"
154,"21 editorials | Real-time retail competition is escalating, requiring ",3,4,0.8,True,The article details Alibaba's strategic move to upgrade its instant retail offering ('Taobao Flash Purchase') and leverage Ele.me's delivery network. 
155,"""Promoting physical fitness and cultivating people"", sports open up ne",4,3,0.8,True,"The article focuses on the positive impact of sports education in rural China, highlighting the role of various organizations and individuals, includi"
156,"The global trend of playing economy is booming, and brands are competi",4,4,0.9,True,"The article details the immense popularity of the LABUBU trendy toy, which is driving significant consumer interest and sales on Alibaba's cross-borde"
157,"The Shanghai Cooperation Organization Youth ""Perception of Common Weal",4,3,0.8,True,"The article describes a youth event organized by the Shanghai Cooperation Organization visiting Zhejiang, China. Alibaba's Cainiao warehouse is mentio"
158,"Qing Shan District has over 300 ""street corner new homes"" to warm the ",3,3,0.8,True,The article describes local government initiatives in Baotou City to support delivery riders and other 'new employment groups'. While Meituan and Ele.
159,"The State Council Information Office held a press conference on ""Deepe",3,3,0.8,True,The article discusses government initiatives to improve electricity services and the integration of AI in the energy sector. While these are positive 
160,Notice on holding the 2024 Academic Annual Conference of the Pharmaceu,3,3,0.9,True,This article is about a conference focused on pharmaceutical excipients and does not directly involve or impact Alibaba Group. While it touches on the
161,"In Q1 of 2025, JD's revenue reached 301.1 billion, ranking first in th",4,3,0.8,True,The article highlights JD.com's superior revenue performance and growth rate compared to Alibaba in Q1 2025. While Alibaba is mentioned as ranking sec
162,"Looking at the next round of China's economic ""opportunity"" from the """,4,4,0.9,True,"The article discusses the enactment of the Private Economy Promotion Law in China, which is designed to support and foster the development of the priv"
163,"AI empowers Chinese listed companies to go global, with overseas reven",4,4,0.9,True,The article highlights the increasing importance of Chinese companies going global and positions AI and cloud computing as crucial enablers for this e
164,Chinese brands break through global barriers.,3,3,0.8,True,The article discusses the general trend of Chinese brands expanding globally and the Chinese market's attractiveness to international brands. It menti
